SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,Sr87Sr86,Nd143Nd144,Pb206Pb204,Pb207Pb204,Pb208Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr,Class
50.75571895,1.582924837,15.11437908,9.426062092,8.843954248,9.354575163,3.053513072,1.868872549,0.70505,0.512613,18.906,15.620999999999999,38.815,49.0,85.0,44.0,7.9,5.9,2.0,0.3,609.0,4.1,31.0,39.0,911.0,2.0,8.3,25.0,185.0,CA
65.34493223,0.7991098520000001,15.77989075,4.491199676,2.20513858,4.127048351,3.9449726889999996,3.30770787,0.70905,0.512314,18.926,15.662,39.092,33.0,76.0,30.0,5.31,4.3,0.82,0.12,655.0,4.0,12.0,132.0,421.0,0.9,16.2,13.0,183.0,CA
64.28284452,0.873844918,15.97026918,4.881478505,2.480916031,4.339092005,4.037766171,3.13378867,0.70872,0.5123300000000001,18.982,15.696,39.143,37.0,87.0,33.0,5.71,4.5,0.79,0.11,798.0,5.6,11.0,113.0,525.0,0.8,14.1,12.0,236.0,CA
61.4213198,1.015228426,15.93908629,6.335025381,3.360406091,5.431472081,3.6954314719999997,2.802030457,0.70853,0.512375,18.9,15.651,39.03,37.0,74.0,33.0,6.04,5.2,1.33,0.18,717.0,4.1,20.0,77.0,533.0,1.6,12.0,19.0,217.0,CA
59.80166283,1.131924271,15.92707603,6.6312731639999996,4.1370329560000005,5.779825703999999,4.086947811,2.504257237,0.70802,0.51237,18.917,15.632,38.991,39.0,84.0,38.0,6.67,5.3,0.96,0.14,664.0,5.4,14.0,78.0,607.0,1.5,11.2,15.0,233.0,CA
59.76824558,0.742020736,18.53018906,5.793860541,2.907094938,6.373246595,4.238666396,1.6466761540000001,0.7057100000000001,0.51255,18.717,15.640999999999998,38.775999999999996,23.0,49.0,23.0,4.7,4.0,1.7,0.25,506.0,3.9,6.7,39.0,634.0,0.4,3.37,17.0,168.0,CA
50.40383236,2.009904885,17.03732846,10.09580894,6.717039643,8.862326722,3.884427576,0.98933142,0.70345,0.512931,18.486,15.571,38.146,14.5,35.1,28.4,5.09,6.18,3.1,0.43,170.0,4.9,10.2,16.0,373.0,0.86,1.8,32.0,240.0,CA
50.44931621,2.266216965,16.12340602,10.51561634,7.308029939,8.42034744,3.9398909630000003,0.977176123,0.7036399999999999,0.512868,18.557000000000002,15.575999999999999,38.344,17.2,39.9,24.1,5.75,6.39,3.3,0.47,152.0,5.3,9.0,22.0,353.0,0.94,2.5,30.0,243.0,CA
55.79064198,2.060868041,16.72878089,8.985337929,3.511887377,7.255096676,3.722180034,1.94520708,0.7056899999999999,0.5127229999999999,18.597,15.620999999999999,38.353,19.6,48.0,28.4,6.95,7.7,4.39,0.66,415.0,6.2,9.4,63.0,277.0,0.64,5.9,44.0,251.0,CA
68.10116255,0.611870283,15.65368142,4.262696308,0.68325515,3.1919233119999997,4.385070365,3.110340608,0.70715,0.512624,19.381,15.755,39.154,27.4,62.1,30.8,7.38,7.74,4.47,0.67,553.0,8.0,10.4,130.0,144.0,0.73,10.1,43.0,321.0,CA
53.6748101,1.272839253,17.40915623,8.211866147,5.47115582,9.453910901,3.531102443,0.975159105,0.70632,0.5127649999999999,18.512999999999998,15.606,38.126,13.9,34.8,20.1,4.68,4.93,2.63,0.4,206.0,4.1,7.0,24.0,293.0,0.44,2.6,25.0,176.0,CA
69.12137506,0.562711017,15.899144,3.725260609,0.9924176109999999,3.1307194739999997,3.795741585,2.772630646,0.70515,0.512792,18.651,15.597000000000001,38.518,18.9,42.4,18.0,3.7,3.18,2.14,0.28,368.0,4.7,6.4,86.0,171.0,0.68,6.7,16.0,178.0,CA
